weekday;Hour;state;BS;SE;Regen
3;19;0;3;0;0
4;8;1;3;1;0
4;9;0;3;0;0
4;10;1;3;0;0
4;11;0;3;0;0
4;12;1;3;1;0
4;13;0;3;1;0
4;14;0;3;0;0
4;15;1;3;1;0
4;16;0;3;1;0
4;17;1;3;0;0
4;18;0;3;1;0
4;19;0;3;0;0
5;8;1;3;0;1
5;9;0;3;0;1
5;10;1;3;1;0
5;11;0;3;0;1
5;12;0;3;0;1
5;13;1;3;1;1
5;14;1;3;0;0
5;15;0;3;1;0
5;16;1;3;1;0
5;17;0;3;0;0
5;18;0;3;0;0
5;19;0;3;1;0
6;8;1;3;1;0
6;9;1;3;1;0
6;10;0;3;1;0
6;11;0;3;1;0
6;12;1;3;0;0
6;13;0;3;0;0
6;14;0;3;0;0
6;15;1;3;0;0
6;16;0;3;0;0
6;17;1;3;1;0
6;18;0;3;0;0
6;19;1;3;0;0
7;8;0;3;1;0
7;9;1;3;1;0
7;10;0;3;1;0
7;11;1;3;0;0
7;12;1;3;0;0
7;13;0;3;1;0
7;14;0;3;1;0
7;15;1;3;1;0
7;16;0;3;0;0
7;17;1;3;0;0
7;18;0;3;1;0
7;19;1;3;1;0
1;8;0;3;0;1
1;9;1;3;0;1
1;10;0;3;0;0
1;11;0;3;0;1
1;12;0;3;0;1
1;13;1;3;0;0
1;14;1;3;0;0
1;15;1;3;1;0
1;16;0;3;0;0
1;17;0;3;0;0
1;18;0;3;1;0
1;19;0;3;1;0
2;8;1;3;1;0
2;9;1;3;0;0
2;10;1;3;1;0
2;11;1;3;0;0
2;12;1;3;1;0
2;13;0;3;0;0
2;14;0;3;1;1
2;15;0;3;0;1
2;16;0;3;1;0
2;17;1;3;0;0
2;18;0;3;1;0
2;19;0;3;1;0
3;8;1;3;0;0
3;9;0;3;0;0
3;10;0;3;1;0
3;11;1;3;1;0
3;12;1;3;1;0
3;13;1;3;1;0
3;14;1;3;1;0
3;15;1;3;0;0
3;16;1;3;0;0
3;17;0;3;1;0
3;18;1;3;1;0
3;19;1;3;0;0
4;8;0;3;0;0
4;9;1;3;1;0
4;10;1;3;0;0
4;11;1;3;1;0
4;12;0;3;0;0
4;13;0;3;0;0
4;14;0;3;0;0
4;15;1;3;0;0
4;16;0;3;1;0
4;17;0;3;1;0
4;18;1;3;0;0
4;19;1;3;1;0
5;8;1;3;1;0
5;9;1;3;1;0
5;10;0;3;0;0
5;11;1;3;0;0
5;12;0;3;1;0
5;13;0;3;1;0
5;14;1;3;1;0
5;15;0;3;1;0
5;16;0;3;1;0
5;17;0;3;0;0
5;18;1;3;1;0
5;19;0;3;1;0
6;8;1;3;0;1
6;9;0;3;0;1
6;10;1;3;1;1
6;11;1;3;1;0
6;12;0;3;0;0
6;13;0;3;1;0
6;14;0;3;1;0
6;15;0;3;1;0
6;16;0;3;0;0
6;17;1;3;0;0
6;18;1;3;0;0
6;19;0;3;1;0
7;8;0;3;0;0
7;9;1;3;1;0
7;10;0;3;0;0
7;11;0;3;1;0
7;12;1;3;1;0
7;13;0;3;1;0
7;14;0;3;1;0
7;15;1;3;1;0
7;16;1;3;0;0
7;17;0;3;0;0
7;18;0;3;1;0
7;19;1;3;1;0
1;8;1;3;0;0
1;9;1;3;1;0
1;10;1;3;1;0
1;11;0;3;0;0
1;12;1;3;1;0
1;13;1;3;1;0
1;14;1;3;0;0
1;15;1;3;0;0
1;16;1;3;0;0
1;17;1;3;1;0
1;18;0;3;0;0
1;19;0;3;1;0
2;8;0;3;0;0
2;9;1;3;1;0
2;10;1;3;0;0
2;11;0;3;1;0
2;12;1;3;0;0
2;13;0;3;0;0
2;14;0;3;0;0
2;15;1;3;1;0
2;16;0;3;1;0
2;17;0;3;1;0
2;18;0;3;0;0
2;19;1;3;0;0
3;8;1;3;0;0
3;9;0;3;1;0
3;10;0;3;0;0
3;11;0;3;0;0
3;12;0;3;0;0
3;13;1;3;0;0
3;14;1;3;1;0
3;15;0;3;0;0
3;16;0;3;1;0
3;17;0;3;0;0
3;18;0;3;0;0
3;19;0;3;1;0
4;8;1;3;0;0
4;9;1;3;1;0
4;10;0;3;1;0
4;11;0;3;1;0
4;12;0;3;1;0
4;13;1;3;0;0
4;14;1;3;1;0
4;15;0;3;1;0
4;16;0;3;1;0
4;17;0;3;0;0
4;18;1;3;0;0
4;19;1;3;0;0
5;8;0;3;0;0
5;9;0;3;0;0
5;10;1;3;0;0
5;11;0;3;1;0
5;12;1;3;1;0
5;13;1;3;1;0
5;14;0;3;0;0
5;15;0;3;0;0
5;16;0;3;1;0
5;17;1;3;0;0
5;18;1;3;0;0
5;19;0;3;0;0
6;8;0;3;1;0
6;9;1;3;0;0
6;10;1;3;1;0
6;11;0;3;0;0
6;12;0;3;1;0
6;13;0;3;1;0
6;14;1;3;0;0
6;15;1;3;1;0
6;16;0;3;1;0
6;17;1;3;1;0
6;18;0;3;0;0
6;19;0;3;0;0
7;8;0;3;1;0
7;9;0;3;0;0
7;10;1;3;1;0
7;11;1;3;1;0
7;12;0;3;0;0
7;13;1;3;1;0
7;14;0;3;0;0
7;15;0;3;0;0
7;16;1;3;1;0
7;17;0;3;1;0
7;18;0;3;1;0
7;19;0;3;1;0
1;8;1;3;1;0
1;9;1;3;0;0
1;10;0;3;0;0
1;11;1;3;0;0
1;12;0;3;1;0
1;13;0;3;1;0
1;14;1;3;1;0
1;15;1;3;0;0
1;16;1;3;1;0
1;17;1;3;1;0
1;18;0;3;1;0
1;19;1;3;1;0
2;8;0;3;1;0
2;9;0;3;1;0
2;10;1;3;1;0
2;11;0;3;1;0
2;12;0;3;0;0
2;13;0;3;1;0
2;14;1;3;0;0
2;15;1;3;1;0
2;16;1;3;1;0
2;17;0;3;0;0
2;18;1;3;0;0
2;19;0;3;0;0
3;8;0;3;0;0
3;9;1;3;1;0
3;10;0;3;1;0
3;11;0;3;1;0
3;12;0;3;0;0
3;13;1;3;1;0
3;14;0;3;0;0
3;15;0;3;0;0
3;16;0;3;0;0
3;17;0;3;1;0
3;18;1;3;0;0
3;19;1;3;1;0
4;8;0;3;0;0
4;9;1;3;0;0
4;10;0;3;1;1
4;11;1;3;0;1
4;12;0;3;0;1
4;13;0;3;1;0
4;14;0;3;1;0
4;15;1;3;1;0
4;16;0;3;1;0
4;17;1;3;0;0
4;18;1;3;0;0
4;19;0;3;1;0
5;8;0;3;1;0
5;9;0;3;0;0
5;10;0;3;0;0
5;11;1;3;1;0
5;12;1;3;0;0
5;13;1;3;0;0
5;14;0;3;1;0
5;15;1;3;0;0
5;16;1;3;1;0
5;17;1;3;0;0
5;18;1;3;0;0
5;19;1;3;0;0
6;8;1;3;1;0
6;9;0;3;0;0
6;10;0;3;0;0
6;11;1;3;1;1
6;12;1;3;1;1
6;13;0;3;0;1
6;14;0;3;1;1
6;15;1;3;0;1
6;16;0;3;1;1
6;17;0;3;1;1
6;18;0;3;0;1
6;19;1;3;1;1
7;8;1;3;1;0
7;9;0;3;0;0
7;10;0;3;0;0
7;11;1;3;1;0
7;12;0;3;0;0
7;13;1;3;1;0
7;14;1;3;1;0
7;15;1;3;0;0
7;16;0;3;0;0
7;17;0;3;1;0
7;18;1;3;0;0
7;19;1;3;0;1
1;8;0;3;1;0
1;9;0;3;0;1
1;10;1;3;0;1
1;11;0;3;0;1
1;12;1;3;0;0
1;13;0;3;0;0
1;14;0;3;0;1
1;15;0;3;1;0
1;16;1;3;1;0
1;17;0;3;1;0
1;18;0;3;0;0
1;19;0;3;1;0
2;8;1;3;0;0
2;9;0;3;0;0
2;10;0;3;0;1
2;11;0;3;1;1
2;12;0;3;1;0
2;13;0;3;1;0
2;14;0;3;0;0
2;15;0;3;0;0
2;16;0;3;0;0
2;17;1;3;1;1
2;18;1;3;0;1
2;19;0;3;0;0
3;8;0;3;1;0
3;9;0;3;1;0
3;10;0;3;0;1
3;11;1;3;1;0
3;12;0;3;1;0
3;13;1;3;0;0
3;14;1;3;1;0
3;15;0;3;1;0
3;16;1;3;0;0
3;17;0;3;1;0
3;18;0;3;1;0
3;19;1;3;1;0
4;8;0;3;0;0
4;9;1;3;1;0
4;10;0;3;1;0
4;11;1;3;1;0
4;12;0;3;0;0
4;13;0;3;0;0
4;14;0;3;1;0
4;15;1;3;0;0
4;16;1;3;1;0
4;17;0;3;0;0
4;18;0;3;0;0
4;19;0;3;1;0
5;8;1;3;1;1
5;9;1;3;1;0
5;10;1;3;1;0
5;11;0;3;0;0
5;12;1;3;0;0
5;13;1;3;1;0
5;14;1;3;1;1
5;15;0;3;0;1
5;16;1;3;0;1
5;17;1;3;1;1
5;18;1;3;1;1
5;19;1;3;0;1
6;8;0;3;0;1
6;9;1;3;0;1
6;10;1;3;0;0
6;11;0;3;0;0
6;12;1;3;0;0
6;13;1;3;0;0
6;14;0;3;1;0
6;15;1;3;1;0
6;16;1;3;0;0
6;17;0;3;0;0
6;18;0;3;0;0
6;19;1;3;0;0
7;8;0;3;1;0
7;9;0;3;1;0
7;10;0;3;0;1
7;11;0;3;1;0
7;12;0;3;1;1
7;13;0;3;0;1
7;14;0;3;0;0
7;15;1;3;0;0
7;16;1;3;1;0
7;17;1;3;0;0
7;18;1;3;0;0
7;19;1;3;0;0
1;8;0;3;0;0
1;9;0;3;0;0
1;10;0;3;0;0
1;11;1;3;1;1
1;12;0;3;1;1
1;13;1;3;0;1
1;14;1;3;1;0
1;15;0;3;0;0
1;16;1;3;1;0
1;17;0;3;0;0
1;18;1;3;0;0
1;19;1;3;0;0
2;8;0;3;0;1
2;9;0;3;1;0
2;10;1;3;1;0
2;11;0;3;1;0
2;12;0;3;0;0
2;13;0;3;0;0
2;14;1;3;0;0
2;15;0;3;1;0
2;16;1;3;0;0
2;17;0;3;0;0
2;18;0;3;1;0
2;19;0;3;1;0
3;8;0;3;0;0
3;9;1;3;1;0
3;10;1;3;1;0
3;11;0;3;0;0
3;12;0;3;1;0
3;13;1;3;0;0
3;14;0;3;0;0
3;15;0;3;1;0
3;16;0;3;1;0
3;17;1;3;0;0
3;18;1;3;0;0
3;19;1;3;0;0
4;8;0;3;1;0
4;9;1;3;0;1
4;10;1;3;1;0
4;11;0;3;0;0
4;12;0;3;1;0
4;13;1;3;0;0
4;14;1;3;1;0
4;15;1;3;0;0
4;16;1;3;0;0
4;17;0;3;1;1
4;18;1;3;1;1
4;19;0;3;1;1
5;8;1;3;1;1
5;9;0;3;0;1
5;10;1;3;1;1
5;11;1;3;1;0
5;12;0;3;0;0
5;13;1;3;0;0
5;14;0;3;0;0
5;15;1;3;0;0
5;16;0;3;1;0
5;17;1;3;0;0
5;18;1;3;0;0
5;19;1;3;0;0
6;8;0;3;0;1
6;9;1;3;1;1
6;10;1;3;1;1
6;11;1;3;0;1
6;12;0;3;0;1
6;13;1;3;0;0
6;14;0;3;1;0
6;15;1;3;1;0
6;16;0;3;1;0
6;17;1;3;1;1
6;18;0;3;1;1
6;19;1;3;0;0
7;8;0;3;1;1
7;9;1;3;0;1
7;10;0;3;1;1
7;11;0;3;0;1
7;12;1;3;0;1
7;13;0;3;1;1
7;14;0;3;0;1
7;15;1;3;0;1
7;16;0;3;1;1
7;17;0;3;1;1
7;18;0;3;1;1
7;19;1;3;0;1
1;8;0;3;1;0
1;9;0;3;1;0
1;10;0;3;0;0
1;11;1;3;0;0
1;12;1;3;1;0
1;13;0;3;0;0
1;14;1;3;0;0
1;15;1;3;1;0
1;16;1;3;0;0
1;17;1;3;0;0
1;18;0;3;1;0
1;19;0;3;0;0
2;8;0;3;1;0
2;9;0;3;1;0
2;10;1;3;1;0
2;11;1;3;0;0
2;12;0;3;0;0
2;13;1;3;0;0
2;14;0;3;0;0
2;15;0;3;1;0
2;16;1;3;1;0
2;17;1;3;1;0
2;18;1;3;0;0
2;19;0;3;1;0
3;8;1;3;1;0
3;9;1;3;0;0
3;10;1;3;0;0
3;11;0;3;1;0
3;12;1;3;1;0
3;13;0;3;1;0
3;14;1;3;1;0
3;15;0;3;1;0
3;16;1;3;0;0
3;17;1;3;0;0
3;18;0;3;0;0
3;19;0;3;1;0
4;8;1;3;0;0
4;9;1;3;0;0
4;10;1;3;1;0
4;11;0;3;0;0
4;12;1;3;1;0
4;13;1;3;1;0
4;14;1;3;1;0
4;15;0;3;1;0
4;16;0;3;1;0
4;17;0;3;1;0
4;18;1;3;1;0
4;19;0;3;0;0
5;8;0;3;0;0
5;9;0;3;1;0
5;10;0;3;1;0
5;11;1;3;0;0
5;12;1;3;1;0
5;13;0;3;0;0
5;14;0;3;1;0
5;15;1;3;0;0
5;16;0;3;0;0
5;17;0;3;0;0
5;18;1;3;0;0
5;19;0;3;1;0
6;8;1;3;0;0
6;9;1;3;1;0
6;10;1;3;0;0
6;11;0;3;0;0
6;12;1;3;1;0
6;13;0;3;0;0
6;14;0;3;1;0
6;15;1;3;1;0
6;16;1;3;0;0
6;17;0;3;1;0
6;18;1;3;1;0
6;19;0;3;1;0
7;8;0;3;0;0
7;9;0;3;1;0
7;10;1;3;1;0
7;11;0;3;0;0
7;12;0;3;0;0
7;13;1;3;1;0
7;14;1;3;0;0
7;15;1;3;1;0
7;16;1;3;0;0
7;17;1;3;0;0
7;18;0;3;1;0
7;19;1;3;0;0
1;8;1;3;0;0
1;9;1;3;0;0
1;10;0;3;1;0
1;11;0;3;0;0
1;12;1;3;0;0
1;13;0;3;0;0
1;14;1;3;1;0
1;15;0;3;0;1
1;16;1;3;0;1
1;17;1;3;0;1
1;18;1;3;0;1
1;19;1;3;1;1
2;8;1;3;0;0
2;9;1;3;0;0
2;10;1;3;1;0
2;11;1;3;1;0
2;12;1;3;1;1
2;13;1;3;1;1
2;14;1;3;1;0
2;15;1;3;1;0
2;16;1;3;0;0
2;17;1;3;0;0
2;18;1;3;1;0
2;19;0;3;0;0
3;8;0;3;0;1
3;9;0;3;1;1
3;10;1;3;0;1
3;11;1;3;0;1
3;12;0;3;0;1
3;13;1;3;0;1
3;14;1;3;0;1
3;15;0;3;0;0
3;16;0;3;0;0
3;17;1;3;1;0
3;18;0;3;1;0
3;19;0;3;1;0
4;8;1;3;1;1
4;9;0;3;1;1
4;10;1;3;0;1
4;11;0;3;1;1
4;12;1;3;0;0
4;13;0;3;0;0
4;14;0;3;1;0
4;15;1;3;1;0
4;16;0;3;1;0
4;17;1;3;0;0
4;18;1;3;1;0
4;19;0;3;0;0
5;8;1;3;1;0
5;9;1;3;1;0
5;10;0;3;0;0
5;11;0;3;0;0
5;12;0;3;0;0
5;13;1;3;1;0
5;14;1;3;1;0
5;15;1;3;0;0
5;16;1;3;1;0
5;17;1;3;1;0
5;18;0;3;0;0
5;19;0;3;1;0
6;8;1;3;0;0
6;9;0;3;1;0
6;10;0;3;0;0
6;11;1;3;0;0
6;12;0;3;0;0
6;13;1;3;1;0
6;14;0;3;0;0
6;15;0;3;1;0
6;16;0;3;0;0
6;17;0;3;1;0
6;18;1;3;0;0
6;19;1;3;1;0
7;8;1;3;0;0
7;9;0;3;0;0
7;10;1;3;0;0
7;11;0;3;1;0
7;12;0;3;0;0
7;13;1;3;1;0
7;14;0;3;0;0
7;15;0;3;0;0
7;16;1;3;0;0
7;17;1;3;0;0
7;18;1;3;0;0
7;19;0;3;1;0
1;8;1;3;1;0
1;9;1;3;1;0
1;10;0;3;1;0
1;11;1;3;0;0
1;12;1;3;0;1
1;13;1;3;1;1
1;14;0;3;1;0
1;15;1;3;0;0
1;16;1;3;1;0
1;17;0;3;1;0
1;18;1;3;1;0
1;19;0;3;0;0
2;8;0;3;0;0
2;9;1;3;0;0
2;10;1;3;0;0
2;11;1;3;1;0
2;12;0;3;1;0
2;13;1;3;1;0
2;14;0;3;1;0
2;15;1;3;0;0
2;16;0;3;1;0
2;17;1;3;1;0
2;18;0;3;0;0
2;19;1;3;1;0
3;8;1;3;0;1
3;9;1;3;1;1
3;10;1;3;1;0
3;11;1;3;0;0
3;12;0;3;1;0
3;13;0;3;0;0
3;14;1;3;1;0
3;15;0;3;1;0
3;16;0;3;0;0
3;17;1;3;0;0
3;18;0;3;0;0
3;19;1;3;1;0
4;8;0;3;1;0
4;9;1;3;1;0
4;10;0;3;1;1
4;11;0;3;0;0
4;12;1;3;1;0
4;13;1;3;0;0
4;14;1;3;1;0
4;15;0;3;0;0
4;16;1;3;0;0
4;17;1;3;0;0
4;18;0;3;0;0
4;19;1;3;1;0
5;8;0;3;1;0
5;9;0;3;1;0
5;10;0;3;0;0
5;11;1;3;0;0
5;12;0;3;1;0
5;13;1;3;0;0
5;14;0;3;0;0
5;15;0;3;1;0
5;16;0;3;0;0
5;17;0;3;0;0
5;18;0;3;1;0
5;19;0;3;0;0
6;8;0;3;0;0
6;9;0;3;1;0
6;10;0;3;0;0
6;11;1;3;1;0
6;12;0;3;1;0
6;13;0;3;0;0
6;14;1;3;0;0
6;15;1;3;0;0
6;16;0;3;0;0
6;17;0;3;1;0
6;18;0;3;1;0
6;19;0;3;1;0
7;8;0;3;0;0
7;9;1;3;1;0
7;10;1;3;0;0
7;11;1;3;1;0
7;12;0;3;0;0
7;13;0;3;1;0
7;14;0;3;1;0
7;15;1;3;0;0
7;16;0;3;1;0
7;17;0;3;1;0
7;18;0;3;0;0
7;19;0;3;1;0
1;8;1;3;0;0
1;9;0;3;1;0
1;10;1;3;0;0
1;11;1;3;0;0
1;12;0;3;1;0
1;13;1;3;1;0
1;14;0;3;1;0
1;15;1;3;0;0
1;16;1;3;1;0
1;17;0;3;1;0
1;18;1;3;1;1
1;19;1;3;0;1
2;8;0;3;1;0
2;9;0;3;1;0
2;10;0;3;1;0
2;11;0;3;1;0
2;12;1;3;1;0
2;13;0;3;0;0
2;14;1;3;0;0
2;15;0;3;1;0
2;16;1;3;0;0
2;17;0;3;1;0
2;18;1;3;1;0
2;19;0;3;1;1
3;8;0;3;0;0
3;9;1;3;1;1
3;10;1;3;1;0
3;11;0;3;1;1
3;12;1;3;1;1
3;13;0;3;1;0
3;14;1;3;1;0
3;15;0;3;1;0
3;16;1;3;0;1
3;17;0;3;1;1
3;18;1;3;0;1
3;19;0;3;0;0
4;8;0;3;0;0
4;9;1;3;0;0
4;10;1;3;1;0
4;11;1;3;0;0
4;12;1;3;0;0
4;13;1;3;0;0
4;14;1;3;1;0
4;15;0;3;0;0
4;16;1;3;1;0
4;17;0;3;0;0
4;18;0;3;0;0
4;19;1;3;0;0
5;8;0;3;1;0
5;9;1;3;0;0
5;10;1;3;0;0
5;11;0;3;0;0
5;12;1;3;1;0
5;13;0;3;1;0
5;14;0;3;0;0
5;15;0;3;1;0
5;16;0;3;1;0
5;17;0;3;0;0
5;18;1;3;0;0
5;19;0;3;0;0
6;8;0;3;1;0
6;9;0;3;0;0
6;10;0;3;1;0
6;11;1;3;0;0
6;12;1;3;1;0
6;13;1;3;1;0
6;14;0;3;1;0
6;15;0;3;1;0
6;16;0;3;0;0
6;17;1;3;1;0
6;18;0;3;0;0
6;19;0;3;0;0
7;8;1;3;1;0
7;9;1;3;0;0
7;10;0;3;0;0
7;11;0;3;1;0
7;12;0;3;1;0
7;13;0;3;1;0
7;14;1;3;1;0
7;15;1;3;1;0
7;16;0;3;0;0
7;17;0;3;0;0
7;18;0;3;1;0
7;19;1;3;1;0
1;8;1;3;0;0
1;9;0;3;0;0
1;10;1;3;1;0
1;11;0;3;0;0
1;12;0;3;0;0
1;13;0;3;1;0
1;14;1;3;1;0
1;15;0;3;1;0
1;16;0;3;1;0
1;17;1;3;1;0
1;18;0;3;0;0
1;19;1;3;0;0
2;8;0;3;0;0
2;9;1;3;0;0
2;10;0;3;1;0
2;11;0;3;1;0
2;12;1;3;0;0
2;13;0;3;1;0
2;14;1;3;0;0
2;15;1;3;0;0
2;16;0;3;1;0
2;17;1;3;1;0
2;18;0;3;1;0
2;19;1;3;0;0
3;8;0;3;1;0
3;9;1;3;0;0
3;10;1;3;1;0
3;11;0;3;1;0
3;12;1;3;1;0
3;13;0;3;0;0
3;14;0;3;0;0
3;15;1;3;1;0
3;16;0;3;0;0
3;17;1;3;1;0
3;18;1;3;1;0
3;19;0;3;0;0
4;8;0;3;0;0
4;9;1;3;0;0
4;10;0;3;1;0
4;11;0;3;0;0
4;12;0;3;0;0
4;13;1;3;0;0
4;14;1;3;0;0
4;15;0;3;0;0
4;16;1;3;1;0
4;17;0;3;0;0
4;18;0;3;0;0
4;19;0;3;1;0
5;8;0;3;0;0
5;9;1;3;1;0
5;10;1;3;1;0
5;11;0;3;1;0
5;12;0;3;0;0
5;13;1;3;0;0
5;14;0;3;1;0
5;15;1;3;0;0
5;16;0;3;1;0
5;17;0;3;0;0
5;18;1;3;0;0
5;19;1;3;0;0
6;8;1;3;0;0
6;9;1;3;0;0
6;10;0;3;0;0
6;11;1;3;0;0
6;12;0;3;1;0
6;13;0;3;0;0
6;14;0;3;1;0
6;15;1;3;1;0
6;16;0;3;1;0
6;17;0;3;0;0
6;18;1;3;0;0
6;19;0;3;1;0
7;8;1;3;0;0
7;9;0;3;0;0
7;10;1;3;1;0
7;11;1;3;0;0
7;12;1;3;1;0
7;13;1;3;1;0
7;14;1;3;0;0
7;15;0;3;1;0
7;16;0;3;0;0
7;17;0;3;0;0
7;18;0;3;1;0
7;19;0;3;1;0
1;8;1;3;1;0
1;9;1;3;1;0
1;10;1;3;1;0
1;11;0;3;1;0
1;12;0;3;0;0
1;13;0;3;1;0
1;14;1;3;1;0
1;15;0;3;1;0
1;16;1;3;1;0
1;17;0;3;1;0
1;18;0;3;1;0
1;19;0;3;1;0
2;8;1;3;0;0
2;9;0;3;1;0
2;10;0;3;0;0
2;11;0;3;0;0
2;12;0;3;1;0
2;13;0;3;0;0
2;14;1;3;0;0
2;15;1;3;0;0
2;16;0;3;1;0
2;17;0;3;1;0
2;18;0;3;0;0
2;19;0;3;0;0
3;8;1;3;1;0
3;9;0;3;0;0
3;10;0;3;1;0
3;11;1;3;0;0
3;12;0;3;0;0
3;13;0;3;1;0
3;14;0;3;0;0
3;15;1;3;0;0
3;16;0;3;1;0
3;17;0;3;1;0
3;18;0;3;0;0
3;19;0;3;0;0
4;8;1;3;0;0
4;9;0;3;1;0
4;10;1;3;1;0
4;11;0;3;1;0
4;12;0;3;0;0
4;13;0;3;1;0
4;14;0;3;1;0
4;15;1;3;1;0
4;16;1;3;1;0
4;17;1;3;1;0
4;18;0;3;0;0
4;19;0;3;1;0
5;8;1;3;1;0
5;9;0;3;0;0
5;10;0;3;1;0
5;11;0;3;0;0
5;12;1;3;0;0
5;13;1;3;0;0
5;14;1;3;1;0
5;15;1;3;1;0
5;16;0;3;0;0
5;17;1;3;0;0
5;18;1;3;1;0
5;19;0;3;0;0
6;8;1;3;0;0
6;9;0;3;0;0
6;10;1;3;1;0
6;11;0;3;0;0
6;12;0;3;1;0
6;13;0;3;1;0
6;14;1;3;0;0
6;15;0;3;0;0
6;16;1;3;0;0
6;17;0;3;1;0
6;18;0;3;1;0
6;19;1;3;0;0
7;8;1;3;0;0
7;9;0;3;0;0
7;10;0;3;0;0
7;11;0;3;1;0
7;12;1;3;0;0
7;13;0;3;0;0
7;14;0;3;1;0
7;15;0;3;1;0
7;16;0;3;0;0
7;17;1;3;1;0
7;18;0;3;1;0
7;19;0;3;0;0
1;8;0;3;0;0
1;9;0;3;0;0
1;10;1;3;0;0
1;11;0;3;1;0
1;12;0;3;0;0
1;13;0;3;1;0
1;14;0;3;1;0
1;15;0;3;1;0
1;16;1;3;0;0
1;17;0;3;1;0
1;18;1;3;0;0
1;19;1;3;0;0
2;8;0;3;1;0
2;9;1;3;0;0
2;10;0;3;0;0
2;11;1;3;0;0
2;12;1;3;1;0
2;13;1;3;0;0
2;14;1;3;0;0
2;15;1;3;0;0
2;16;1;3;0;0
2;17;1;3;0;0
2;18;1;3;1;0
2;19;0;3;1;0
3;8;0;3;0;0
3;9;1;3;0;0
3;10;1;3;0;0
3;11;0;3;0;0
3;12;1;3;0;0
3;13;1;3;0;0
3;14;0;3;1;0
3;15;1;3;1;1
3;16;0;3;1;1
3;17;0;3;1;1
3;18;1;3;1;0
3;19;0;3;0;0
4;8;0;3;0;0
4;9;0;3;1;0
4;10;1;3;1;0
4;11;0;3;0;0
4;12;0;3;1;0
4;13;1;3;0;0
4;14;0;3;1;0
4;15;1;3;0;0
4;16;0;3;1;0
4;17;1;3;0;0
4;18;0;3;0;0
4;19;1;3;0;0
5;8;0;3;1;0
5;9;0;3;0;0
5;10;0;3;0;0
5;11;0;3;1;0
5;12;0;3;0;0
5;13;1;3;0;0
5;14;0;3;1;0
5;15;0;3;0;0
5;16;0;3;1;0
5;17;1;3;0;0
5;18;0;3;0;0
5;19;0;3;0;0
6;8;0;3;1;0
6;9;1;3;1;0
6;10;0;3;1;0
6;11;0;3;1;0
6;12;1;3;1;0
6;13;1;3;0;0
6;14;1;3;1;0
6;15;0;3;0;0
6;16;1;3;1;0
6;17;1;3;1;0
6;18;1;3;0;0
6;19;1;3;1;0
7;8;1;3;1;0
7;9;0;3;1;1
7;10;1;3;1;1
7;11;0;3;0;0
7;12;0;3;1;1
7;13;1;3;1;1
7;14;0;3;0;1
7;15;1;3;0;1
7;16;0;3;0;1
7;17;0;3;1;1
7;18;1;3;1;0
7;19;1;3;0;0
1;8;1;3;1;0
1;9;1;3;0;0
1;10;0;3;1;0
1;11;0;3;0;0
1;12;1;3;1;0
1;13;1;3;0;1
1;14;0;3;1;0
1;15;0;3;0;0
1;16;1;3;1;0
1;17;0;3;1;0
1;18;0;3;0;1
1;19;1;3;0;0
2;8;1;3;1;0
2;9;0;3;1;0
2;10;1;3;0;0
2;11;1;3;1;0
2;12;1;3;1;0
2;13;0;3;1;0
2;14;0;3;1;0
2;15;0;3;0;0
2;16;0;3;1;0
2;17;0;3;1;1
2;18;1;3;1;1
2;19;1;3;0;1
3;8;1;3;0;0
3;9;0;3;1;0
3;10;0;3;0;1
3;11;0;3;1;1
3;12;1;3;0;1
3;13;1;3;1;1
3;14;1;3;1;1
3;15;0;3;0;1
3;16;0;3;1;1
3;17;1;3;0;1
3;18;1;3;0;1
3;19;0;3;0;0
4;8;1;3;1;0
4;9;1;3;1;0
4;10;0;3;1;0
4;11;0;3;1;0
4;12;1;3;0;0
4;13;1;3;0;0
4;14;1;3;0;0
4;15;1;3;1;0
4;16;1;3;1;0
4;17;1;3;0;0
4;18;0;3;0;0
4;19;1;3;0;0
5;8;0;3;0;0
5;9;1;3;1;0
5;10;0;3;0;0
5;11;1;3;0;0
5;12;0;3;1;0
5;13;1;3;1;0
5;14;0;3;1;0
5;15;1;3;0;0
5;16;0;3;0;0
5;17;1;3;0;0
5;18;0;3;1;0
5;19;0;3;0;0
6;8;0;3;0;0
6;9;1;3;1;0
6;10;1;3;1;0
6;11;1;3;1;0
6;12;1;3;1;0
6;13;1;3;0;0
6;14;1;3;0;0
6;15;0;3;1;0
6;16;1;3;1;0
6;17;0;3;1;0
6;18;0;3;1;0
6;19;1;3;0;0
7;8;0;3;0;0
7;9;1;3;0;0
7;10;0;3;0;0
7;11;0;3;1;0
7;12;1;3;1;0
7;13;1;3;0;0
7;14;1;3;1;0
7;15;1;3;1;0
7;16;0;3;1;0
7;17;0;3;0;0
7;18;0;3;0;0
7;19;0;3;0;0
1;8;0;3;1;0
1;9;0;3;0;0
1;10;1;3;0;0
1;11;1;3;0;0
1;12;0;3;0;0
1;13;0;3;1;0
1;14;0;3;0;0
1;15;0;3;1;0
1;16;1;3;0;0
1;17;0;3;0;0
1;18;0;3;0;0
1;19;0;3;0;0
2;8;1;3;0;0
2;9;1;3;0;0
2;10;0;3;1;0
2;11;0;3;0;0
2;12;1;3;0;0
2;13;1;3;1;0
2;14;0;3;1;0
2;15;0;3;1;0
2;16;1;3;1;0
2;17;0;3;1;0
2;18;1;3;0;1
2;19;0;3;1;0
